Date,Load_Power(kW)
12/19/2022,8.2375
12/20/2022,8.354166667
12/21/2022,8.104166667
12/22/2022,8.4625
12/23/2022,6.066666667
12/24/2022,6.208333333
12/25/2022,6.1
12/26/2022,6.2125
12/27/2022,6.25
12/28/2022,6.116666667
12/29/2022,6.1125
12/30/2022,6.066666667
12/31/2022,6.208333333
1/1/2023,6.1
1/2/2023,6.2125
1/3/2023,6.25
1/4/2023,6.116666667
1/5/2023,6.1125
1/6/2023,6.845833333
1/7/2023,7.191666667
1/8/2023,7.858333333
1/9/2023,7.808333333
1/10/2023,7.916666667
1/11/2023,8.004166667
1/12/2023,7.979166667
1/13/2023,7.691666667
1/14/2023,7.416666667
1/15/2023,7.9625
1/16/2023,7.991666667
1/17/2023,8.166666667
1/18/2023,8.266666667
1/19/2023,8.133333333
1/20/2023,7.783333333
1/21/2023,7.720833333
1/22/2023,8.208333333
1/23/2023,8.316666667
1/24/2023,8.033333333
1/25/2023,8.233333333
1/26/2023,8.2375
1/27/2023,8.354166667
1/28/2023,8.104166667
1/29/2023,8.4625
1/30/2023,8.479166667
1/31/2023,8.054166667
2/1/2023,8.479166667
2/2/2023,8.408333333
2/3/2023,7.6
2/4/2023,7.270833333
2/5/2023,8.054166667
2/6/2023,8.175
2/7/2023,8.55
2/8/2023,8.479166667
2/9/2023,8.408333333
2/10/2023,7.6
2/11/2023,7.270833333
2/12/2023,8.054166667
2/13/2023,8.05
2/14/2023,8.391666667
2/15/2023,8.229166667
2/16/2023,8.4
2/17/2023,7.9875
2/18/2023,7.458333333
2/19/2023,8.720833333
2/20/2023,8.983333333
2/21/2023,8.391666667
2/22/2023,8.229166667
2/23/2023,8.4
2/24/2023,7.9875
2/25/2023,7.458333333
2/26/2023,8.720833333
2/27/2023,8.983333333
2/28/2023,8.391666667
3/1/2023,6.733333333
3/2/2023,6.579166667
3/3/2023,6.504166667
3/4/2023,6.770833333
3/5/2023,6.8375
3/6/2023,6.866666667
3/7/2023,6.841666667
3/8/2023,6.666666667
3/9/2023,6.541666667
3/10/2023,6.566666667
3/11/2023,7.041666667
3/12/2023,6.9875
3/13/2023,7.179166667
3/14/2023,6.841666667
3/15/2023,6.970833333
3/16/2023,6.766666667
3/17/2023,6.691666667
3/18/2023,6.925
3/19/2023,6.745833333
3/20/2023,6.7125
